Id,SalePrice
1461,124489.38
1462,154607.75
1463,177794.64
1464,179538.11
1465,197204.33
1466,174184.95
1467,165833.6
1468,166187.88
1469,183301.86
1470,125037.37
1471,203165.17
1472,100081.43
1473,96323.73
1474,154829.62
1475,140258.47
1476,391724.56
1477,256804.94
1478,301867.25
1479,264090.34
1480,494848.06
1481,321720.0
1482,216389.48
1483,163622.19
1484,176838.78
1485,175871.48
1486,190519.03
1487,340613.62
1488,237725.94
1489,202054.12
1490,225343.17
1491,188491.6
1492,88285.39
1493,191145.22
1494,292264.75
1495,297095.34
1496,230373.39
1497,178642.52
1498,164995.73
1499,168657.67
1500,149746.9
1501,163350.52
1502,163920.48
1503,281730.22
1504,229857.58
1505,219084.69
1506,181060.62
1507,230146.88
1508,195568.66
1509,160668.31
1510,146376.28
1511,143608.38
1512,174606.7
1513,147886.45
1514,172529.64
1515,192527.53
1516,167665.8
1517,155343.67
1518,138731.69
1519,230596.08
1520,135489.3
1521,136521.78
1522,175144.8
1523,104965.89
1524,125451.414
1525,127209.29
1526,120937.96
1527,109488.26
1528,133753.81
1529,149030.14
1530,174395.9
1531,104612.55
1532,103820.74
1533,140245.56
1534,118489.95
1535,154254.45
1536,112075.586
1537,76539.445
1538,178339.8
1539,209914.36
1540,84319.49
1541,141729.23
1542,136812.94
1543,222779.64
1544,80087.22
1545,102805.57
1546,124789.51
1547,128206.234
1548,132512.44
1549,112146.63
1550,137930.64
1551,119200.74
1552,126405.125
1553,154214.08
1554,109317.42
1555,166768.9
1556,78597.375
1557,113673.06
1558,100109.17
1559,74087.39
1560,145480.48
1561,131309.69
1562,127016.21
1563,126518.7
1564,162269.05
1565,152406.94
1566,219508.83
1567,74064.18
1568,213475.88
1569,133945.19
1570,135349.06
1571,129250.27
1572,151584.64
1573,246814.66
1574,131277.52
1575,229844.34
1576,219303.27
1577,196555.92
1578,153382.58
1579,143166.61
1580,189551.38
1581,145299.12
1582,128446.88
1583,346237.2
1584,231055.45
1585,137788.8
1586,86204.76
1587,100909.64
1588,144613.5
1589,99163.59
1590,139383.25
1591,100756.914
1592,125573.164
1593,132800.56
1594,128656.266
1595,114727.34
1596,236074.5
1597,186679.88
1598,213558.56
1599,195453.38
1600,194889.45
1601,80129.6
1602,112515.04
1603,85873.3
1604,279822.7
1605,250169.34
1606,162779.08
1607,169545.39
1608,213893.77
1609,191712.31
1610,152665.02
1611,143744.77
1612,166372.0
1613,162309.92
1614,123142.31
1615,95596.26
1616,71763.94
1617,95989.375
1618,125949.44
1619,139573.75
1620,149995.23
1621,132976.64
1622,140343.2
1623,297577.66
1624,211098.78
1625,131897.38
1626,171643.5
1627,182522.2
1628,285326.03
1629,179128.86
1630,383283.06
1631,232332.27
1632,256899.23
1633,172517.36
1634,180595.6
1635,180277.89
1636,153571.98
1637,181515.2
1638,212717.84
1639,181914.22
1640,255522.64
1641,184604.7
1642,215927.62
1643,217402.77
1644,219661.19
1645,188395.05
1646,155903.03
1647,170877.4
1648,133961.78
1649,136146.05
1650,116411.19
1651,125227.34
1652,101994.89
1653,100739.96
1654,150984.72
1655,159903.72
1656,149929.14
1657,151210.34
1658,150459.55
1659,147123.25
1660,151832.64
1661,439403.0
1662,435179.5
1663,392591.3
1664,327111.8
1665,307552.12
1666,319830.9
1667,351861.75
1668,327072.53
1669,297206.6
1670,359865.7
1671,250643.28
1672,448148.22
1673,299920.6
1674,243678.78
1675,177804.92
1676,184488.17
1677,203072.36
1678,434439.97
1679,378220.66
